s,d,D
5,2,40
1,4,40
3,2,40
2,2,40
4,4,40
1,5,40
5,2,40
3,3,40
5,5,40
5,1,40
1,1,40
5,4,40
5,1,40
4,1,40
2,5,40
1,1,40
3,5,40
1,5,40
2,3,40
3,4,40
5,1,40
4,1,40
5,2,40
5,1,40
2,2,40
5,2,40
4,4,40
2,3,40
1,5,40
5,3,40
5,1,40
5,3,40
5,4,40
1,2,40
5,4,40
1,2,40
1,5,40
4,4,40
3,4,40
5,2,40
3,3,40
3,2,40
3,4,40
5,2,40
3,3,40
1,5,40
1,4,40
5,3,40
5,3,40
2,4,40
5,4,40
1,2,40
1,3,40
1,2,40
2,4,40
5,4,40
2,4,40
3,3,40
4,3,40
4,4,40
3,1,40
1,4,40
3,1,40
5,2,40
1,2,40
3,3,40
1,3,40
3,2,40
4,1,40
5,1,40
3,1,40
3,4,40
2,2,40
2,1,40
5,5,40
3,1,40
2,5,40
3,2,40
4,5,40
3,1,40
4,3,40
4,3,40
5,4,40
3,4,40
3,4,40
4,1,40
5,4,40
4,4,40
4,5,40
1,2,40
3,3,40
1,5,40
1,1,40
3,5,40
3,1,40
4,3,40
4,5,40
1,5,40
1,2,40
5,3,40
3,1,40
5,3,40
3,1,40
1,5,40
2,5,40
4,3,40
2,1,40
4,1,40
4,2,40
2,1,40
1,1,40
3,1,40
1,3,40
4,1,40
5,3,40
5,4,40
1,4,40
1,1,40
4,2,40
3,5,40
5,1,40
3,2,40
1,1,40
5,4,40
3,3,40
5,5,40
5,1,40
3,5,40
2,3,40
1,3,40
4,2,40
3,3,40
1,2,40
3,5,40
1,2,40
3,3,40
1,4,40
2,4,40
5,5,40
1,5,40
3,3,40
5,2,40
1,4,40
1,5,40
2,2,40
1,3,40
4,5,40
3,4,40
5,3,40
1,2,40
5,3,40
5,1,40
3,4,40
3,2,40
3,1,40
5,4,40
2,3,40
5,4,40
5,1,40
1,5,40
5,3,40
5,3,40
1,3,40
1,1,40
5,5,40
5,2,40
4,2,40
1,4,40
3,1,40
5,3,40
4,3,40
1,5,40
3,2,40
1,4,40
2,5,40
4,1,40
5,5,40
2,3,40
1,1,40
4,1,40
2,4,40
2,1,40
3,4,40
1,1,40
1,1,40
1,1,40
4,2,40
5,2,40
4,4,40
3,2,40
1,2,40
2,5,40
3,2,40
3,5,40
2,4,40
3,2,40
5,2,40
5,3,40
3,3,40
2,3,40
5,2,40
1,5,40
5,5,40
1,3,40
4,5,40
3,5,40
1,3,40
3,4,40
4,3,40
5,3,40
2,2,40
2,4,40
4,1,40
4,2,40
1,1,40
1,4,40
2,2,40
1,1,40
2,2,40
5,4,40
5,1,40
5,4,40
5,1,40
3,3,40
2,5,40
2,4,40
4,3,40
1,2,40
5,1,40
3,5,40
3,5,40
1,1,40
2,5,40
3,5,40
4,3,40
4,1,40
4,2,40
1,3,40
4,5,40
4,5,40
1,3,40
3,1,40
1,1,40
5,5,40
5,1,40
4,1,40
1,1,40
5,1,40
3,4,40
1,3,40
3,5,40
4,3,40
3,3,40
4,4,40
5,4,40
2,3,40
2,1,40
5,5,40
3,3,40
4,4,40
3,4,40
5,5,40
1,2,40
5,1,40
1,3,40
4,3,40
2,2,40
4,2,40
3,2,40
2,1,40
2,1,40
1,2,40
4,3,40
5,5,40
2,1,40
3,1,40
1,4,40
3,4,40
2,4,40
2,4,40
1,5,40
5,4,40
3,1,40
2,5,40
2,1,40
3,3,40
4,1,40
2,1,40
2,3,40
4,3,40
5,4,40
4,3,40
2,3,40
5,4,40
1,5,40
5,1,40
1,3,40
4,4,40
2,2,40
2,5,40
