s,d,D
5,3,100
1,5,140
3,5,120
2,1,60
4,2,100
2,3,160
2,4,120
3,3,20
3,1,120
5,4,120
4,3,120
3,1,60
3,5,40
1,1,100
3,1,40
3,3,120
4,3,80
4,2,60
2,3,160
4,4,160
3,4,100
5,2,140
5,2,20
3,3,120
1,3,140
4,3,120
1,5,60
2,1,80
2,3,140
3,4,40
3,2,140
5,2,120
1,2,140
4,5,120
2,1,140
5,3,20
1,4,80
5,4,60
4,2,60
5,2,60
2,5,60
5,1,140
2,1,120
5,5,100
5,2,80
2,2,60
1,1,20
4,1,20
2,5,40
3,4,40
1,5,120
3,5,160
4,1,60
4,4,60
2,1,100
2,1,160
4,3,20
1,5,160
5,4,80
4,5,100
4,5,60
4,4,120
1,5,100
2,1,60
2,1,60
3,4,40
5,4,40
2,4,140
5,1,20
1,5,140
3,4,140
3,5,100
3,5,120
3,4,160
1,5,20
1,2,60
4,2,140
2,2,20
2,1,140
4,4,140
4,4,80
1,3,160
5,5,120
5,2,40
4,3,140
1,5,140
3,3,80
3,1,160
5,4,140
3,4,40
3,2,80
3,4,120
3,3,80
2,2,140
4,5,140
3,1,160
5,4,40
4,1,140
3,4,20
1,5,160
